"","Expectations.time","expect"
"1","2001-06",6.34234531182512
"2","2001-07",5
"3","2001-08",4.22794195092242
"4","2001-09",4.22223222035438
"5","2001-10",3.53089597303018
"6","2001-11",3.45368748604746
"7","2001-12",3.28718067044666
"8","2002-01",3.26018584931851
"9","2002-02",3.49811974204654
"10","2002-03",3.2975505286924
"11","2002-04",2.45856910294548
"12","2002-05",1.37418737134907
"13","2002-06",0.976961734669919
"14","2002-07",0.982624390207469
"15","2002-08",1.12152294176846
"16","2002-09",0.918883720816123
"17","2002-10",0.880308322352461
"18","2002-11",0.658093616301048
"19","2002-12",0.530711278494282
"20","2003-01",0.238611002062743
"21","2003-02",0.241336853146941
"22","2003-03",0.302944493441251
"23","2003-04",0.0788526868122368
"24","2003-05",0.345571407762155
"25","2003-06",0.381356872743906
"26","2003-07",0.54615637048521
"27","2003-08",0.52627172548785
"28","2003-09",0.702401016679001
"29","2003-10",0.797527085972515
"30","2003-11",1.23344316234919
"31","2003-12",1.53704419874862
"32","2004-01",1.85116791664224
"33","2004-02",2.02634120146444
"34","2004-03",1.82924043991906
"35","2004-04",2.81531404077409
"36","2004-05",4.20130400259538
"37","2004-06",4.56793555685895
"38","2004-07",4.74075536403237
"39","2004-08",4.71236388386179
"40","2004-09",4.02911171751577
"41","2004-10",3.79652861816594
"42","2004-11",4.14925883314681
"43","2004-12",3.34893811022066
"44","2005-01",3.1858656977341
"45","2005-02",2.75854410769198
"46","2005-03",2.67000350382675
"47","2005-04",2.13400857314888
"48","2005-05",1.61529551323201
"49","2005-06",0.978992330556629
"50","2005-07",1.13915978896744
"51","2005-08",1.39126180657516
"52","2005-09",1.46592989318168
"53","2005-10",1.24378197245917
"54","2005-11",0.890285454752702
"55","2005-12",0.55989286754534
"56","2006-01",0.604780812036243
"57","2006-02",0.684399206188057
"58","2006-03",0.64764983368312
"59","2006-04",0.821241088547492
"60","2006-05",1.11588707374141
"61","2006-06",0.978061916382796
"62","2006-07",1.07976856996884
"63","2006-08",1.2620313270273
"64","2006-09",1.20093149320919
"65","2006-10",1.06962206695471
"66","2006-11",0.815250147481316
"67","2006-12",1.29049401226104
"68","2007-01",1.20941680867334
"69","2007-02",1.76364871747308
"70","2007-03",1.65899677943592
"71","2007-04",1.6944661043147
"72","2007-05",1.67516084067315
"73","2007-06",1.94255265895307
"74","2007-07",1.84019282881508
"75","2007-08",1.59971884141693
"76","2007-09",1.96833708170764
"77","2007-10",2.40134461693425
"78","2007-11",2.9768517722361
"79","2007-12",3.59021034862785
"80","2008-01",3.60528120648337
"81","2008-02",4.16843961219432
"82","2008-03",3.96097358515228
"83","2008-04",3.81721886615795
"84","2008-05",3.98307384300169
"85","2008-06",3.87512520594159
"86","2008-07",4.01850772909512
"87","2008-08",3.75968315441552
"88","2008-09",3.56391773663528
"89","2008-10",3.23638005840178
"90","2008-11",3.08361385813142
"91","2008-12",2.90695862781895
"92","2009-01",2.7794758792839
"93","2009-02",3.18712125599211
"94","2009-03",3.87835126406012
"95","2009-04",4.08767753290832
"96","2009-05",3.41335903280247
"97","2009-06",3.4736823463089
"98","2009-07",3.88412746938796
"99","2009-08",3.84745971189594
"100","2009-09",2.9060118695011
"101","2009-10",2.93190531898326
"102","2009-11",3.3510735311939
"103","2009-12",3.12709163795698
"104","2010-01",3.37392790573036
"105","2010-02",3.0352022257829
"106","2010-03",2.35621201742659
"107","2010-04",2.00230477420566
"108","2010-05",1.76831636393868
"109","2010-06",1.80876863712999
"110","2010-07",1.94624022337762
"111","2010-08",1.50332944632232
"112","2010-09",2.65603316518439
"113","2010-10",2.8689701036679
"114","2010-11",2.54434783031327
"115","2010-12",2.65610492605276
"116","2011-01",3.03090267498097
"117","2011-02",3.23520088493224
"118","2011-03",3.60215718614774
"119","2011-04",4.35127807052802
"120","2011-05",4.03482783714564
"121","2011-06",3.02113961120298
"122","2011-07",3.07824454416618
"123","2011-08",3.12536658925721
"124","2011-09",3.17451375666135
"125","2011-10",3.08695003754931
"126","2011-11",3.69969632009612
"127","2011-12",4.37856336455102
"128","2012-01",4.55261294454711
"129","2012-02",3.9523576964899
"130","2012-03",3.54289097941226
"131","2012-04",3.72817298828894
"132","2012-05",2.9351880612401
"133","2012-06",3.7909809866807
"134","2012-07",3.67724032865124
"135","2012-08",3.41100546424308
"136","2012-09",3.1874795519756
"137","2012-10",2.92332806753555
"138","2012-11",2.21012670686177
"139","2012-12",1.9293498499018
"140","2013-01",1.35770424526577
"141","2013-02",0.959276795417995
"142","2013-03",0.803013305127037
"143","2013-04",0.625297468251577
"144","2013-05",0.366236653593333
"145","2013-06",0.21211252078125
"146","2013-07",0.596811971608625
"147","2013-08",0.617948215949521
"148","2013-09",0.676615454591674
"149","2013-10",0.508489136438879
"150","2013-11",0.353396529124778
"151","2013-12",0.47154887616057
"152","2014-01",0.486502525852394
"153","2014-02",0.549525804312123
"154","2014-03",0.504280262358629
"155","2014-04",0.213483056644404
"156","2014-05",0.195648482264674
"157","2014-06",0.194687889498338
"158","2014-07",-0.0760761197935464
"159","2014-08",-0.0813175659788688
"160","2014-09",-0.202506363917823
"161","2014-10",-0.18449061032318
"162","2014-11",-0.202644229851845
"163","2014-12",-0.418618964255472
"164","2015-01",-0.673695133497137
"165","2015-02",-0.810485721967794
"166","2015-03",-0.747296741046341
"167","2015-04",-0.500898397058842
"168","2015-05",-0.401411674650734
"169","2015-06",-0.298426501784889
"170","2015-07",-0.214159896714485
"171","2015-08",-0.173188498478545
"172","2015-09",-0.287806763331074
"173","2015-10",-0.327599991918821
